Catégorie	Startup	Tier	Région	Titre du poste	Lien offre	Tech startup	Site startup
Autre	Avicenna.AI	B	Provence-Alpes-Côte d'Azur	cutting-edge AI solutions	https://avicenna.ai/solutions/		https://www.Avicenna.Ai
Autre	BatvoiceAI	A	Île-de-France	Augmentez vos conversions avec Batvoice AI	https://www.batvoice.com/challenges/ventes	NLP, traitement du langage, speech-to-text, reconnaissance vocale	https://www.batvoice.com/
Autre	BatvoiceAI	A	Île-de-France	Comment avez-vous entendu parler de Batvoice ai ?	https://www.batvoice.com/challenges/ventes	NLP, traitement du langage, speech-to-text, reconnaissance vocale	https://www.batvoice.com/
Autre	BatvoiceAI	A	Île-de-France	Prêt à essayer Batvoice AI ?	https://www.batvoice.com/challenges/ventes	NLP, traitement du langage, speech-to-text, reconnaissance vocale	https://www.batvoice.com/
Autre	Bioptimus	A	Île-de-France	Text Link	https://www.bioptimus.com/careers	machine learning, training data, PhD, researcher	https://www.bioptimus.com/
Autre	Bioptimus	A	Île-de-France	This is some text inside of a div block.	https://www.bioptimus.com/careers	machine learning, training data, PhD, researcher	https://www.bioptimus.com/
Autre	Bondzai	A	Occitanie	mailto:contact@bondzai.io	https://mailto:contact@bondzai.io	machine learning, deep learning, MLOps	https://www.bondzai.io
Autre	Botfuel	A	Île-de-France	BOTNATION AI ®	https://botnation.ai/fr/	machine learning, traitement du langage, nos modèles, GPU, speech-to-text	http://botfuel.io
Autre	Botfuel	A	Île-de-France	Chatbot juridique	https://botnation.ai/site/fr/chatbot-juridique/	machine learning, traitement du langage, nos modèles, GPU, speech-to-text	http://botfuel.io
Autre	Botfuel	A	Île-de-France	Chatbot support informatique	https://botnation.ai/fr/chatbot-support-informatique.html	machine learning, traitement du langage, nos modèles, GPU, speech-to-text	http://botfuel.io
Autre	Botfuel	A	Île-de-France	SMART AI	https://botnation.ai/support/fr/creez-un-chatbot-automatiquement-avec-smart-ai-de-botnation/	machine learning, traitement du langage, nos modèles, GPU, speech-to-text	http://botfuel.io
Autre	Callifly	B	Occitanie	_trfd.push({'tccl.baseHost':'secureserver.net'}),	https://callifly.com/cas-dusage-recrutement-de-candidats/	notre modèle, entraîné	https://www.callifly.com
Autre	Callifly	B	Occitanie	y.parentNode.insertBefore(t, y);	https://callifly.com/cas-dusage-recrutement-de-candidats/	notre modèle, entraîné	https://www.callifly.com
Autre	Callifly	B	Occitanie	{'php':'8.2.30'},	https://callifly.com/cas-dusage-recrutement-de-candidats/	notre modèle, entraîné	https://www.callifly.com
Autre	Cobl	B	Nouvelle-Aquitaine	@cobl_ai	https://twitter.com/cobl_ai	fine-tuning, data science	https://www.cobl.ai/
Autre	Cogniwave dynamics	A	Île-de-France	AGENTIC AI	https://www.cogniwavedynamics.com/agentic-ai/	machine learning, computer vision, R&D, computer-vision	https://www.cogniwavedynamics.com
Autre	Cogniwave dynamics	A	Île-de-France	AI Strategy	https://www.cogniwavedynamics.com/ai-strategy/	machine learning, computer vision, R&D, computer-vision	https://www.cogniwavedynamics.com
Autre	Cogniwave dynamics	A	Île-de-France	AI Training	https://www.cogniwavedynamics.com/ai-training/	machine learning, computer vision, R&D, computer-vision	https://www.cogniwavedynamics.com
Autre	Cogniwave dynamics	A	Île-de-France	AI-Powered Financial Consulting	https://www.cogniwavedynamics.com	machine learning, computer vision, R&D, computer-vision	https://www.cogniwavedynamics.com
Autre	Cogniwave dynamics	A	Île-de-France	AI/Bank & Insurance	https://www.cogniwavedynamics.com/bank-insurance/	machine learning, computer vision, R&D, computer-vision	https://www.cogniwavedynamics.com
Autre	Cogniwave dynamics	A	Île-de-France	AI/DATA	https://www.cogniwavedynamics.com/ai-data/	machine learning, computer vision, R&D, computer-vision	https://www.cogniwavedynamics.com
Autre	Cogniwave dynamics	A	Île-de-France	Finance	https://www.cogniwavedynamics.com/expertise/finance/	machine learning, computer vision, R&D, computer-vision	https://www.cogniwavedynamics.com
Autre	Cogniwave dynamics	A	Île-de-France	Tailored Data/AI Projects	https://www.cogniwavedynamics.com	machine learning, computer vision, R&D, computer-vision	https://www.cogniwavedynamics.com
Autre	Daijobu AI	A	Île-de-France	Legal notice	https://daijobu.ai/mentions-legales-daijobu-ai/	machine learning, nos modèles, notre modèle, entraîné	https://daijobu.ai
Autre	Daijobu AI	A	Île-de-France	hello@daijobu.ai	https://mailto:hello@daijobu.ai	machine learning, nos modèles, notre modèle, entraîné	https://daijobu.ai
Autre	Dasia	A	Île-de-France	Ecole d’ingénieur	https://www.dasia.ai/nous-rejoindre/	deep learning, vision par ordinateur	https://www.dasia.ai
Autre	Dasia	A	Île-de-France	const supportsAnimationTimeline = CSS.supports("animation-timeline", "scroll()");	https://www.dasia.ai/nous-rejoindre/	deep learning, vision par ordinateur	https://www.dasia.ai
Autre	Datategy	A	Île-de-France	AI Maturity	https://www.datategy.net/ai-maturity-assessment-for-your-organizations/	machine learning, data scientist, data science	https://www.datategy.net
Autre	Datategy	A	Île-de-France	AI Maturity Assessment	https://www.datategy.net/ai-maturity-assessment-for-your-organizations/	machine learning, data scientist, data science	https://www.datategy.net
Autre	Datategy	A	Île-de-France	Big Data &#038; AI Paris 2023	https://www.datategy.net/big-data-ai-paris-2023-datategy/	machine learning, data scientist, data science	https://www.datategy.net
Autre	Datategy	A	Île-de-France	Datategy Big Data &#038; AI Paris 2024	https://www.datategy.net/datategy-big-data-ai-paris-2024/	machine learning, data scientist, data science	https://www.datategy.net
Autre	Datategy	A	Île-de-France	Finance	https://www.datategy.net/artificial-intelligence-in-finance-bank-insurance-fintech/	machine learning, data scientist, data science	https://www.datategy.net
Autre	Datategy	A	Île-de-France	Legal Information	https://datategy.net/legal-notice/	machine learning, data scientist, data science	https://www.datategy.net
Autre	Datategy	A	Île-de-France	Start Your Free AI Project	https://app.papai.ai/auth/signin?redirectURL=	machine learning, data scientist, data science	https://www.datategy.net
Autre	Datategy	A	Île-de-France	papAI	https://www.datategy.net/papai/	machine learning, data scientist, data science	https://www.datategy.net
Autre	DecisionBrain	B	Île-de-France	Legal	https://decisionbrain.com/legal-notice/	machine learning	https://decisionbrain.com/
Autre	DeepHawk	B	Bretagne	jobs@deephawk.ai	https://mailto:jobs@deephawk.ai	machine learning	https://www.deephawk.ai/
Autre	ELDA TECHNOLOGY	B	Occitanie	Mots-clés	https://eldatechnology.fr/jobs	lidar	https://eldatechnology.fr/
Autre	ELDA TECHNOLOGY	B	Occitanie	Postes en télétravail uniquement	https://eldatechnology.fr/jobs	lidar	https://eldatechnology.fr/
Autre	Energiency	B	Bretagne	Legal Notice	https://www.energiency.com/legal-notice/	data science	https://www.energiency.com
Autre	Flex.ai	B	Île-de-France	FlexAI for Startups	https://www.flex.ai/flexai-startup-program	fine-tuning, GPU, inference	https://www.flex.ai/
Autre	Flex.ai	B	Île-de-France	FlexibleAI	https://www.flex.ai/flexaicloudservices	fine-tuning, GPU, inference	https://www.flex.ai/
Autre	Flex.ai	B	Île-de-France	Why FlexAI	https://www.flex.ai/why-flexai	fine-tuning, GPU, inference	https://www.flex.ai/
Autre	Footovision	A	Île-de-France	Offres d’emploi Architecte junior	https://fr.linkedin.com/jobs/architecte-junior-emplois?trk=organization_guest_linkster_link	computer vision, computer-vision	https://www.footovision.com
Autre	Footovision	A	Île-de-France	Offres d’emploi Architecte junior 462 postes à pourvoir	https://fr.linkedin.com/jobs/architecte-junior-emplois?trk=organization_guest-browse_jobs	computer vision, computer-vision	https://www.footovision.com
Autre	Footovision	A	Île-de-France	Offres d’emploi Chef des ventes	https://fr.linkedin.com/jobs/chef-des-ventes-emplois?trk=organization_guest_linkster_link	computer vision, computer-vision	https://www.footovision.com
Autre	Gencovery	A	Auvergne-Rhône-Alpes	Legal information	https://www.gencovery.com/en-us/mentions-legales	machine learning, deep learning, tensorflow, pytorch, scikit-learn, chercheur	http://gencovery.com
Autre	Giskard AI	A	Île-de-France	Company support	https://help.welcometothejungle.com/en/kb-tickets/new	regression, annotation, dataset, open-source	https://www.giskard.ai/
Autre	Giskard AI	A	Île-de-France	Legal notice	https://www.welcometothejungle.com/en/pages/legal	regression, annotation, dataset, open-source	https://www.giskard.ai/
Autre	HD Rain	A	Île-de-France	JavaScript must be enabled in order to use Notion.	https://hd-rain.notion.site/Job-Board-6623745e8cf94f81984d8078d59cfe86	machine learning, modèle propriétaire, nos modèles	https://hd-rain.com/
Autre	HD Rain	A	Île-de-France	Please enable JavaScript to continue.	https://hd-rain.notion.site/Job-Board-6623745e8cf94f81984d8078d59cfe86	machine learning, modèle propriétaire, nos modèles	https://hd-rain.com/
Autre	Heptalytics	A	Île-de-France	Legal notice	https://www.heptalytics.ai/mentions-legales	deep learning, neural network, data science	https://www.heptalytics.ai
Autre	HrFlow.ai	B	Île-de-France	HrFlow.ai	https://hrflow.ai/	machine learning, embedding	http://hrflow.ai/
Autre	HrFlow.ai	B	Île-de-France	See ai in action	https://labs.hrflow.ai	machine learning, embedding	http://hrflow.ai/
Autre	HyLight	B	Île-de-France	Backed by YC and trusted by Europe’s largest operators	https://hylight.aero/careers	lidar	http://hylight.aero
Autre	HyLight	B	Île-de-France	Legal Notice	https://hylight.aero/careers	lidar	http://hylight.aero
Autre	IDA	B	Auvergne-Rhône-Alpes	Legal terms	https://www.ida.eu/legal-terms	machine learning	https://www.ida.eu/
Autre	Iktos	B	Île-de-France	Generative AI | Makya	https://iktos.ai/solution/makya	edge AI	https://www.iktos.ai
Autre	Iktos	B	Île-de-France	Legal Notice	https://iktos.ai/legal/legal-notice-and-privacy-statement	edge AI	https://www.iktos.ai
Autre	Kalray	B	Auvergne-Rhône-Alpes	LEGAL &#038; PRIVACY NOTICE	https://www.kalrayinc.com/legal-notice	machine learning	https://www.kalrayinc.com
Autre	Kalray	B	Auvergne-Rhône-Alpes	TURBOCARD4 &#8211; AI &#038; Compute Acceleration Card	https://www.kalrayinc.com/products/dpu-processor/#turbocard4	machine learning	https://www.kalrayinc.com
Autre	Kalray	B	Auvergne-Rhône-Alpes	support	https://www.kalrayinc.com/customer-support	machine learning	https://www.kalrayinc.com
Autre	Lucky cart	A	Île-de-France	@supports (-moz-appearance: none) {	https://www.luckycart.com/vos-challenges/portfolio-opportunities	machine learning, data scientist, data science	https://www.luckycart.com/
Autre	Lucky cart	A	Île-de-France	swiperCSS.href = 'https://cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.css';	https://www.luckycart.com/vos-challenges/portfolio-opportunities	machine learning, data scientist, data science	https://www.luckycart.com/
Autre	Lucky cart	A	Île-de-France	swiperJS.src = 'https://cdn.jsdelivr.net/npm/swiper@8/swiper-bundle.min.js';	https://www.luckycart.com/vos-challenges/portfolio-opportunities	machine learning, data scientist, data science	https://www.luckycart.com/
Autre	Lucky cart	A	Île-de-France	t.parentNode.insertBefore(e, t);	https://www.luckycart.com/vos-challenges/portfolio-opportunities	machine learning, data scientist, data science	https://www.luckycart.com/
Autre	Mago	B	Île-de-France	JavaScript must be enabled in order to use Notion.	https://magostudio.notion.site/Join-Mago-f8fb62999e2c4f84bab6ce813daec18d	fine-tuning, edge AI	https://www.mago.studio/
Autre	Mago	B	Île-de-France	Please enable JavaScript to continue.	https://magostudio.notion.site/Join-Mago-f8fb62999e2c4f84bab6ce813daec18d	fine-tuning, edge AI	https://www.mago.studio/
Autre	Moon Surgical	B	Île-de-France	JavaScript must be enabled in order to use Notion.	https://moonsurgical.notion.site/Moon-Surgical-Jobs-Board-7a646bb4294a417d96d93875bddb4998	edge AI	https://www.moonsurgical.com/
Autre	Moon Surgical	B	Île-de-France	Please enable JavaScript to continue.	https://moonsurgical.notion.site/Moon-Surgical-Jobs-Board-7a646bb4294a417d96d93875bddb4998	edge AI	https://www.moonsurgical.com/
Autre	Neuralk-AI	A	Île-de-France	BenchmarkDiscover the state-of-the-art performance of the Neuralk AI foundation model.	https://dashboard.neuralk-ai.com/	machine learning, embedding, regression, open-source, data science	https://www.neuralk-ai.com
Autre	One Biosciences	A	Île-de-France	LEGAL TERMS	https://onebiosciences.fr/legal-terms/	machine learning, NLP, PhD	https://www.onebiosciences.fr
Autre	One Biosciences	A	Île-de-France	They support us	https://onebiosciences.fr/#blk-support	machine learning, NLP, PhD	https://www.onebiosciences.fr
Autre	Osium AI	B	Île-de-France	AI model	https://osium.ai/technology#ai-model	proprietary tech	http://osium.ai
Autre	PROPHESEE	A	Île-de-France	Prophesee.ai	https://prophesee.ai	computer vision, computer-vision	https://www.prophesee.ai
Autre	PROPHESEE	A	Île-de-France	SUPPORT	https://www.prophesee.ai/development-center/	computer vision, computer-vision	https://www.prophesee.ai
Autre	Picsellia	A	Occitanie	AI Laboratory	https://www.picsellia.com/ai-laboratory	deep learning, computer vision, training data, annotation, labeling, dataset	https://www.picsellia.com
Autre	Pollen Robotics	B	Nouvelle-Aquitaine	Legal notice	https://www.pollen-robotics.com/legal-notice/	hugging face, open-source	http://www.pollen-robotics.com/
Autre	Pollen Robotics	B	Nouvelle-Aquitaine	Support	https://www.pollen-robotics.com/	hugging face, open-source	http://www.pollen-robotics.com/
Autre	Pop Sink	B	Hauts-de-France	Insurance & Finance	https://www.popsink.com/solutions/industries/insurance-and-financial-services	machine learning, PhD, open-source	https://www.popsink.com/
Autre	Preste	A	Île-de-France	Legal Notice	https://www.preste.ai/legal-notice	machine learning, computer vision, data science, computer-vision	https://www.preste.ai
Autre	Preste	A	Île-de-France	jobs@preste.ai	https://mailto:jobs@preste.ai	machine learning, computer vision, data science, computer-vision	https://www.preste.ai
Autre	Pyannote	B	Occitanie	JavaScript must be enabled in order to use Notion.	https://www.notion.so/pyannoteAI-Job-board-2b062efaec7f80e2a1c0dcb8c728cfff	open-source, speech-to-text	https://www.pyannote.ai
Autre	Pyannote	B	Occitanie	Please enable JavaScript to continue.	https://www.notion.so/pyannoteAI-Job-board-2b062efaec7f80e2a1c0dcb8c728cfff	open-source, speech-to-text	https://www.pyannote.ai
Autre	Qynapse	A	Île-de-France	m=s.getElementsByTagName(o)[0];a.async=1;a.src=g;m.parentNode.insertBefore(a,m)	https://qynapse.com/careers/	PhD, researcher, labeling, dataset	https://qynapse.com/
Autre	Qynapse	A	Île-de-France	var location = handle.parentNode;	https://qynapse.com/careers/	PhD, researcher, labeling, dataset	https://qynapse.com/
Autre	Realytics	A	Île-de-France	Des challenges	https://www.realytics.io/fr/offre-emploi-realytics/	machine learning, data scientist	https://www.realytics.io/fr/
Autre	Realytics	A	Île-de-France	Le monde des médias	https://www.realytics.io/fr/offre-emploi-realytics/	machine learning, data scientist	https://www.realytics.io/fr/
Autre	Realytics	A	Île-de-France	Les dernières technologies	https://www.realytics.io/fr/offre-emploi-realytics/	machine learning, data scientist	https://www.realytics.io/fr/
Autre	Realytics	A	Île-de-France	Paris Intra Muros	https://www.realytics.io/fr/offre-emploi-realytics/	machine learning, data scientist	https://www.realytics.io/fr/
Autre	Realytics	A	Île-de-France	Un esprit Startup	https://www.realytics.io/fr/offre-emploi-realytics/	machine learning, data scientist	https://www.realytics.io/fr/
Autre	SAHAR	B	Île-de-France	Senior FP&A Finance &middot; Paris &middot; Hybride	https://jobs.sahar.fr/jobs/7067760-senior-fp-a	deep learning, clustering	https://sahar.fr/
Autre	Sarus	A	Île-de-France	Company support	https://help.welcometothejungle.com/en/kb-tickets/new	fine-tuning, open-source, data scientist, data science	https://www.sarus.tech/
Autre	Sarus	A	Île-de-France	Legal notice	https://www.welcometothejungle.com/en/pages/legal	fine-tuning, open-source, data scientist, data science	https://www.sarus.tech/
Autre	Scortex	B	Île-de-France	Don’t see the position of your dreams?	https://scortex.welcomekit.co/	deep learning	http://scortex.io/
Autre	Scortex	B	Île-de-France	Our Job Openings	https://scortex.welcomekit.co/	deep learning	http://scortex.io/
Autre	Scortex	B	Île-de-France	We have no job openings at the moment!	https://scortex.welcomekit.co/	deep learning	http://scortex.io/
Autre	Seedext	B	Île-de-France	Chef de projet	https://www.seedext.com/solutions/chef-de-projet	open-source, speech-to-text	https://www.seedext.com
Autre	Seedext	B	Île-de-France	Chef de projet / PMO	https://www.seedext.com/solutions/chef-de-projet	open-source, speech-to-text	https://www.seedext.com
Autre	Sightengine	A	Île-de-France	AI Image Detection	https://sightengine.com/detect-ai-generated-images	fine-tuning, proprietary tech	https://sightengine.com/
Autre	Sightengine	A	Île-de-France	AI Image DetectionDetect AI-generated images.	https://sightengine.com/detect-ai-generated-images	fine-tuning, proprietary tech	https://sightengine.com/
Autre	Sightengine	A	Île-de-France	AI Music Detection	https://sightengine.com/detect-ai-generated-music	fine-tuning, proprietary tech	https://sightengine.com/
Autre	Sightengine	A	Île-de-France	AI Music Detection NewDetect AI-generated music.	https://sightengine.com/detect-ai-generated-music	fine-tuning, proprietary tech	https://sightengine.com/
Autre	Sightengine	A	Île-de-France	AI or Not game	https://sightengine.com/ai-or-not	fine-tuning, proprietary tech	https://sightengine.com/
Autre	Sightengine	A	Île-de-France	Deepfake DetectionIdentify face swaps and AI manipulation.	https://sightengine.com/detect-deepfakes	fine-tuning, proprietary tech	https://sightengine.com/
Autre	Sipearl	B	Île-de-France	[CDI] Senior IP subsystem SoC architect Architecture &middot; Multiple locations &middot; Hybrid	https://careers.sipearl.com/jobs/3746403-cdi-senior-ip-subsystem-soc-architect	GPU, inference	https://www.sipearl.com
Autre	Stellia	B	Île-de-France	Legal Notice	https://stellia.ai/en/legal-notices	notre modèle, entraîné	https://www.stellia.ai
Autre	Trezy	B	Île-de-France	Cash Flow Management Real-time tracking and AI-powered forecasting	https://www.trezy.io/product-cashflow	machine learning, OCR	https://www.trezy.io/
Autre	Trezy	B	Île-de-France	Document Management Hub AI-powered invoice and receipt management	https://www.trezy.io/product-documents	machine learning, OCR	https://www.trezy.io/
Autre	Trezy	B	Île-de-France	Legal information	https://www.trezy.io/legal/information	machine learning, OCR	https://www.trezy.io/
Autre	Trezy	B	Île-de-France	Retail Track inventory investments, forecast seasonal peaks, and manage multi-store finances. Learn more →	https://www.trezy.io/cashflow-for-retail	machine learning, OCR	https://www.trezy.io/
Autre	ULEX	B	Auvergne-Rhône-Alpes	AI plateforme	https://www.voxibot.ai/ai-plateforme/	traitement du langage, reconnaissance vocale	https://www.voxibot.ai/
Autre	ULEX	B	Auvergne-Rhône-Alpes	AI technologies	https://www.voxibot.ai/ai-plateforme/ai-technologies/	traitement du langage, reconnaissance vocale	https://www.voxibot.ai/
Autre	WHISPEAK	B	Hauts-de-France	Phishing Is Out. Vishing Is In: When AI Turns a Phone Call Into a Weapon	https://whispeak.io/vishing-new-phishing/		https://whispeak.io/
Autre	WHISPEAK	B	Hauts-de-France	What Solutions Exist to Detect AI-Generated Voices?	https://whispeak.io/detect-ai-generated-voices/		https://whispeak.io/
Autre	WeDiagnostiX	B	Île-de-France	Co-fondateur & Professeur à CentraleSupélec	https://wediagnostix.ai/	réseaux de neurones, entraîné	https://wediagnostix.ai
Autre	WeDiagnostiX	B	Île-de-France	var MonsterInsightsDefaultLocations = {"page_location":"https:\/\/wediagnostix.ai\/"};	https://wediagnostix.ai/	réseaux de neurones, entraîné	https://wediagnostix.ai
Autre	Weathermind	A	Île-de-France	JavaScript must be enabled in order to use Notion.	https://weathermind.notion.site/Careers-at-WeatherMind-aaea5e1fa0a148c9b4bf02376e8e64bb?pvs=4	computer vision, computer-vision	http://weathermind.ai
Autre	Weathermind	A	Île-de-France	Please enable JavaScript to continue.	https://weathermind.notion.site/Careers-at-WeatherMind-aaea5e1fa0a148c9b4bf02376e8e64bb?pvs=4	computer vision, computer-vision	http://weathermind.ai
Autre	Zaion	A	Île-de-France	AI Technologies	https://zaion.ai/a-propos/offres-emploi/	machine learning, NLP, entraîné, fine-tuning, reconnaissance vocale	https://www.zaion.ai
Autre	Zaion	A	Île-de-France	Cognitive AI	https://zaion.ai/ai-technologies/ai-cognition/	machine learning, NLP, entraîné, fine-tuning, reconnaissance vocale	https://www.zaion.ai
Autre	Zaion	A	Île-de-France	Generative AI	https://zaion.ai/ai-technologies/generative-ai/	machine learning, NLP, entraîné, fine-tuning, reconnaissance vocale	https://www.zaion.ai
Autre	Zaion	A	Île-de-France	contact@zaion.ai	https://mailto:contact@zaion.ai	machine learning, NLP, entraîné, fine-tuning, reconnaissance vocale	https://www.zaion.ai
Autre	crunch dao	A	Île-de-France	Decentralized AI Day (San Francisco) · Luma luma.com	https://www.linkedin.com/redir/redirect?url=https%3A%2F%2Fluma%2Ecom%2Fhe32nz84&amp;urlhash=ol3U&amp;trk=organization_guest_main-feed-card_feed-article-content	machine learning, computer vision, researcher, open-source, data scientist, computer-vision	https://www.crunchdao.com/
Autre	crunch dao	A	Île-de-France	Numerai	https://www.linkedin.com/company/numerai?trk=organization_guest_main-feed-card-text	machine learning, computer vision, researcher, open-source, data scientist, computer-vision	https://www.crunchdao.com/
Autre	crunch dao	A	Île-de-France	Offres d’emploi Chef	https://www.linkedin.com/jobs/head-jobs?trk=organization_guest_linkster_link	machine learning, computer vision, researcher, open-source, data scientist, computer-vision	https://www.crunchdao.com/
Autre	crunch dao	A	Île-de-France	Offres d’emploi Chef de laboratoire	https://www.linkedin.com/jobs/lead-scientist-jobs?trk=organization_guest_linkster_link	machine learning, computer vision, researcher, open-source, data scientist, computer-vision	https://www.crunchdao.com/
Autre	crunch dao	A	Île-de-France	Offres d’emploi Consultant 760 907 postes à pourvoir	https://www.linkedin.com/jobs/consultant-jobs?trk=organization_guest-browse_jobs	machine learning, computer vision, researcher, open-source, data scientist, computer-vision	https://www.crunchdao.com/
Autre	crunch dao	A	Île-de-France	Offres d’emploi Ingénieur	https://www.linkedin.com/jobs/engineer-jobs?trk=organization_guest_linkster_link	machine learning, computer vision, researcher, open-source, data scientist, computer-vision	https://www.crunchdao.com/
Autre	crunch dao	A	Île-de-France	Offres d’emploi Ingénieur 555 845 postes à pourvoir	https://www.linkedin.com/jobs/engineer-jobs?trk=organization_guest-browse_jobs	machine learning, computer vision, researcher, open-source, data scientist, computer-vision	https://www.crunchdao.com/
Autre	crunch dao	A	Île-de-France	Offres d’emploi Ingénieur logiciel	https://www.linkedin.com/jobs/software-engineer-jobs?trk=organization_guest_linkster_link	machine learning, computer vision, researcher, open-source, data scientist, computer-vision	https://www.crunchdao.com/
Autre	crunch dao	A	Île-de-France	Offres d’emploi Ingénieur logiciel senior 78 145 postes à pourvoir	https://www.linkedin.com/jobs/senior-software-engineer-jobs?trk=organization_guest-browse_jobs	machine learning, computer vision, researcher, open-source, data scientist, computer-vision	https://www.crunchdao.com/
Autre	datahawk	B	Île-de-France	Unify marketplace ad data, layer in organic metrics, get AI insights & optimize ROAS.	https://datahawk.co/use-cases/advertising-analytics/	machine learning	https://datahawk.co/
Autre	dottxt	A	Île-de-France	You need to enable JavaScript to run this app.	https://jobs.ashbyhq.com/dottxt	hugging face, inference, annotation	https://dottxt.ai
Autre	dust	B	Île-de-France	Legal	https://dust.tt/home/solutions/legal	model training	https://dust.tt/
Autre	dust	B	Île-de-France	Support	https://dust.tt/home/support	model training	https://dust.tt/
Autre	dust	B	Île-de-France	Trust Center	https://app.vanta.com/dust.tt/trust/f3ytzxpay31bwsiyuqjto	model training	https://dust.tt/
Autre	inarix	B	Île-de-France	Aucune offre ne vous correspond ?	https://reseau-entreprendre-paris.welcomekit.co/companies/inarix	machine learning	https://www.inarix.com/
Autre	inarix	B	Île-de-France	Nos offres	https://reseau-entreprendre-paris.welcomekit.co/companies/inarix	machine learning	https://www.inarix.com/
Autre	pyannoteAI	B	Occitanie	JavaScript must be enabled in order to use Notion.	https://www.notion.so/pyannoteAI-Job-board-2b062efaec7f80e2a1c0dcb8c728cfff	open-source, speech-to-text	https://www.pyannote.ai
Autre	pyannoteAI	B	Occitanie	Please enable JavaScript to continue.	https://www.notion.so/pyannoteAI-Job-board-2b062efaec7f80e2a1c0dcb8c728cfff	open-source, speech-to-text	https://www.pyannote.ai
Autre	tchek	A	Provence-Alpes-Côte d'Azur	ALTO AI	https://www.tchek.ai/fr/technology	deep learning, vision par ordinateur	https://www.tchek.ai/
