Startup	Tier	Région	Nb offres	Page carrières	Types de postes	Tech startup
Botfuel	A	Île-de-France	8	https://botnation.ai/fr/	Autre, Management / Leadership, Product / Design, RH / People, Stage / Alternance	machine learning, traitement du langage, nos modèles, GPU, speech-to-text
Flex.ai	B	Île-de-France	8	https://www.flex.ai/flexai-startup-program	Autre, Dev / Engineering, Ops / Infra / QA	fine-tuning, GPU, inference
Giskard AI	A	Île-de-France	8	https://help.welcometothejungle.com/en/kb-tickets/new	Autre, Dev / Engineering, Management / Leadership, Marketing / Growth, Sales / Business	regression, annotation, dataset, open-source
PROPHESEE	A	Île-de-France	8	https://prophesee.ai	Autre, Dev / Engineering, IA / ML / Data Science, Management / Leadership, Product / Design, Sales / Business	computer vision, computer-vision
SAHAR	B	Île-de-France	8	https://jobs.sahar.fr/jobs/7067760-senior-fp-a	Autre, Dev / Engineering, Product / Design, Sales / Business	deep learning, clustering
Wakeo	B	Île-de-France	8	https://www.welcometothejungle.com/fr/companies/wakeo/jobs/international-sales-development-representative-m-f_paris_WAKEO_2Ak8aqO	Dev / Engineering, Management / Leadership, Sales / Business, Stage / Alternance	machine learning
Orakl Oncology	B	Île-de-France	7	https://www.welcometothejungle.com/fr/companies/orakl-oncology/jobs/ml-engineer-intern-computer-vision_le-kremlin-bicetre	IA / ML / Data Science, Management / Leadership, Product / Design, Stage / Alternance	PhD, researcher, data scientist
Qantev	A	Île-de-France	7	https://www.qantev.com/blog	IA / ML / Data Science, Ops / Infra / QA	machine learning, researcher, edge AI, OCR
Neuralk-AI	A	Île-de-France	6	https://dashboard.neuralk-ai.com/	Autre, Dev / Engineering, Product / Design, Sales / Business	machine learning, embedding, regression, open-source, data science
Realytics	A	Île-de-France	6	https://www.realytics.io/fr/offre-emploi-realytics/	Autre, Dev / Engineering	machine learning, data scientist
Stellia	B	Île-de-France	6	https://stellia.ai/en/legal-notices	Autre, Dev / Engineering, IA / ML / Data Science, Management / Leadership, Product / Design, Sales / Business	notre modèle, entraîné
GRADIUM	B	Auvergne-Rhône-Alpes	6	https://gradium.ai/about/careers	Dev / Engineering, IA / ML / Data Science	inference, speech-to-text
Gladia	B	Bretagne	6	https://www.welcometothejungle.com/en/companies/gladia/jobs/front-end-software-engineer_paris	Dev / Engineering, Management / Leadership, Marketing / Growth, Sales / Business, Stage / Alternance	fine-tuning, open-source, speech-to-text
Visionairy	A	Île-de-France	6	https://www.welcometothejungle.com/fr/companies/visionairy#asset-modal-693763	IA / ML / Data Science, Management / Leadership, Stage / Alternance	computer vision, edge AI, computer-vision
Avicenna.AI	B	Provence-Alpes-Côte d'Azur	5	https://www.linkedin.com/company/avicenna-ai	Autre, Ops / Infra / QA	
IDA	B	Auvergne-Rhône-Alpes	5	https://www.ida.eu/legal-terms	Autre, IA / ML / Data Science, Management / Leadership, Product / Design	machine learning
Picsellia	A	Occitanie	5	https://www.picsellia.com/ai-laboratory	Autre, IA / ML / Data Science, Management / Leadership, Product / Design	deep learning, computer vision, training data, annotation, labeling, dataset
Seedext	B	Île-de-France	5	https://www.seedext.com/solutions/chef-de-projet	Autre, Management / Leadership, Marketing / Growth, Sales / Business	open-source, speech-to-text
Zaion	A	Île-de-France	5	https://zaion.ai/a-propos/offres-emploi/	Autre, Ops / Infra / QA	machine learning, NLP, entraîné, fine-tuning, reconnaissance vocale
kentyou	B	Auvergne-Rhône-Alpes	5	https://kentyou.com/2023/08/07/data-analyst/	Data, Dev / Engineering, Ops / Infra / QA, Stage / Alternance	researcher, R&D, open-source, data scientist
Celest.Science	A	Occitanie	5	https://www.celest.science/contact	Dev / Engineering, Management / Leadership, Ops / Infra / QA, Sales / Business	machine learning, deep learning
Gravite.io	B	Île-de-France	5	https://www.gravite.io/analyzing-prospect-objections-with-ai/blog-articles-objection-analysis/the-role-of-objections-in-sales	Management / Leadership, Sales / Business	unsupervised, speech-to-text
GATEWATCHER	B	Île-de-France	5	https://www.gatewatcher.com/solution/batir-mon-ecosyteme-cyber-sur-la-base-dun-ndr/	Ops / Infra / QA	machine learning
Arcure	B	Île-de-France	4	https://blaxtair.com/offres-emplois/ingenieur-methodes-industrialisation	Autre, Management / Leadership, Sales / Business	deep learning
Heptalytics	A	Île-de-France	4	https://www.heptalytics.ai/mentions-legales	Autre, IA / ML / Data Science, Management / Leadership	deep learning, neural network, data science
ULEX	B	Auvergne-Rhône-Alpes	4	https://www.voxibot.ai/ai-plateforme/	Autre, Dev / Engineering, Sales / Business	traitement du langage, reconnaissance vocale
WHISPEAK	B	Hauts-de-France	4	https://whispeak.io/vishing-new-phishing/	Autre, Ops / Infra / QA	
inarix	B	Île-de-France	4	https://reseau-entreprendre-paris.welcomekit.co/companies/inarix	Autre, IA / ML / Data Science	machine learning
(E-)PEAK PEOPLE HR	A	Île-de-France	4	https://www.peakpeople-hr.com/talents/	Dev / Engineering, Management / Leadership, Ops / Infra / QA, RH / People	machine learning, NLP, data science
Timelight	B	Île-de-France	4	https://api.app.timelight.tech/	Dev / Engineering, IA / ML / Data Science, Product / Design	machine learning
AfterData	A	Île-de-France	4	https://www.afterdata.com/lcb-ft-2/	IA / ML / Data Science, Management / Leadership	machine learning, data scientist
Lixo	B	Île-de-France	4	https://www.welcometothejungle.com/fr/companies/lixo#asset-modal-557026	IA / ML / Data Science, Management / Leadership, Sales / Business, Stage / Alternance	vision par ordinateur
Kardinal	B	Île-de-France	4	https://kardinal.ai/fr/etudes-de-cas-sectorielles/	Management / Leadership	machine learning
XXII	A	Île-de-France	4	https://www.welcometothejungle.com/fr/pages/cookies-policy	Management / Leadership, Sales / Business, Stage / Alternance	computer vision, computer-vision, vision par ordinateur
Alta Ares	A	Île-de-France	3	https://www.altaares.com/legal	Autre, Management / Leadership	edge AI, labeling, MLOps
Cobl	B	Nouvelle-Aquitaine	3	https://twitter.com/cobl_ai	Autre, Management / Leadership, Stage / Alternance	fine-tuning, data science
Daijobu AI	A	Île-de-France	3	https://daijobu.ai/mentions-legales-daijobu-ai/	Autre, Sales / Business	machine learning, nos modèles, notre modèle, entraîné
Pop Sink	B	Hauts-de-France	3	https://www.popsink.com/solutions/industries/insurance-and-financial-services	Autre, Ops / Infra / QA	machine learning, PhD, open-source
Scortex	B	Île-de-France	3	https://scortex.welcomekit.co/	Autre	deep learning
QuantCube Technology	A	Île-de-France	3	https://www.quant-cube.com/research-and-insight	IA / ML / Data Science, Management / Leadership, Product / Design	data science
GLIMPS	B	Bretagne	3	https://careers.werecruit.io/fr/glimps/cookies	Management / Leadership, Stage / Alternance	deep learning
OCTOPIZE	B	Pays de la Loire	3	https://mailto:contact@octopize.io	Management / Leadership, Ops / Infra / QA	GAN
Maki people	B	Île-de-France	3	https://www.makipeople.com/security	Ops / Infra / QA, Product / Design, Sales / Business	embedding, data scientist
Angelaw	B	Île-de-France	2	https://321founded.notion.site/Carri-re-Angelaw-e2c65d328cc244769ae6a18f1df3046e	Autre	machine learning, notre modèle
Another Brain	A	Île-de-France	2	https://anotherbrain.ai/en/legals	Autre	deep learning, neural network
Bioptimus	A	Île-de-France	2	https://www.bioptimus.com/careers	Autre	machine learning, training data, PhD, researcher
ELDA TECHNOLOGY	B	Occitanie	2	https://eldatechnology.fr/jobs	Autre	lidar
Energiency	B	Bretagne	2	https://www.energiency.com/legal-notice/	Autre, Dev / Engineering	data science
Gencovery	A	Auvergne-Rhône-Alpes	2	https://www.gencovery.com/en-us/mentions-legales	Autre, Product / Design	machine learning, deep learning, tensorflow, pytorch, scikit-learn, chercheur
HD Rain	A	Île-de-France	2	https://hd-rain.notion.site/Job-Board-6623745e8cf94f81984d8078d59cfe86	Autre	machine learning, modèle propriétaire, nos modèles
Iktos	B	Île-de-France	2	https://iktos.ai/solution/makya	Autre	edge AI
Mago	B	Île-de-France	2	https://magostudio.notion.site/Join-Mago-f8fb62999e2c4f84bab6ce813daec18d	Autre	fine-tuning, edge AI
Moon Surgical	B	Île-de-France	2	https://moonsurgical.notion.site/Moon-Surgical-Jobs-Board-7a646bb4294a417d96d93875bddb4998	Autre	edge AI
Osium AI	B	Île-de-France	2	https://osium.ai/technology#ai-model	Autre, Product / Design	proprietary tech
Pollen Robotics	B	Nouvelle-Aquitaine	2	https://www.pollen-robotics.com/legal-notice/	Autre	hugging face, open-source
Preste	A	Île-de-France	2	https://www.preste.ai/legal-notice	Autre	machine learning, computer vision, data science, computer-vision
Pyannote	B	Occitanie	2	https://www.notion.so/pyannoteAI-Job-board-2b062efaec7f80e2a1c0dcb8c728cfff	Autre	open-source, speech-to-text
Sarus	A	Île-de-France	2	https://help.welcometothejungle.com/en/kb-tickets/new	Autre	fine-tuning, open-source, data scientist, data science
Weathermind	A	Île-de-France	2	https://weathermind.notion.site/Careers-at-WeatherMind-aaea5e1fa0a148c9b4bf02376e8e64bb?pvs=4	Autre	computer vision, computer-vision
dottxt	A	Île-de-France	2	https://jobs.ashbyhq.com/dottxt	Autre, IA / ML / Data Science	hugging face, inference, annotation
pyannoteAI	B	Occitanie	2	https://www.notion.so/pyannoteAI-Job-board-2b062efaec7f80e2a1c0dcb8c728cfff	Autre	open-source, speech-to-text
Astriis	B	Auvergne-Rhône-Alpes	2	https://www.astriis.com/fr/jobs/detail/developpeur-fullstack-senior-1	Dev / Engineering, Product / Design	machine learning
Lipstip	B	Nouvelle-Aquitaine	2	https://www.lipstip.com/full-stack-developer/	Dev / Engineering, Sales / Business	researcher
Neuranest Technologies	A	Île-de-France	2	https://stewdy.com/category/developpement-personnel/	Dev / Engineering, Management / Leadership	machine learning, réseaux de neurones, entraîné, chercheur
SKYLD	A	Bretagne	2	https://skyld.odoo.com/jobs/machine-learning-intern-3	IA / ML / Data Science, Management / Leadership	machine learning, deep learning, neural network, GPU, PhD, edge AI
azuria	B	Provence-Alpes-Côte d'Azur	2	https://www.azuria.earth/jobs/detail/business-developer-20	IA / ML / Data Science	
Bleckwen	A	Île-de-France	2	https://www.welcometothejungle.com/fr/pages/cookies-policy	Management / Leadership, Stage / Alternance	data scientist, data science
Nano Corp	B	Île-de-France	2	https://www.welcometothejungle.com/fr/pages/cookies-policy	Management / Leadership, Stage / Alternance	machine learning
Whitelab Genomics	B	Île-de-France	2	https://whitelabgx.com/cookie-policy	Management / Leadership	PhD, proprietary tech
namla	A	Île-de-France	2	https://namla.cloud/company/leadership	Management / Leadership, Ops / Infra / QA	machine learning, inference, edge AI, open-source, MLOps
