Tier	Score	Nom	URL	Annee	Region	Tech detectee sur le site	Description
A	14	SKYLD	https://www.skyld.io/	2023	Bretagne	deep learning, neural network, machine learning, GPU, PhD, edge AI	Skyld sécurise les modèles d'IA embarqués contre l'extraction, la copie, le vol et la manipulation, grâce à une transformation mathématique. Notre solution permet un contrôle précis du deploiement et du respect des licences.
A	13	BEWAI	https://bewai.com	2019	Île-de-France	deep learning, computer vision, fine-tuning, annotation, dataset	Plateforme de traitement automatisé de documents : captation, catégorisations, extractions, contrôles, édition. IA 100% française. UX 100% métier. Traitement des demandes de souscription, revues de remédiation KYC, indexation de documents en GED...
A	13	XXII	www.xxiiai.com	2016	Île-de-France	computer vision, vision par ordinateur, computer-vision, dataset, transformer	XXII développe une plateforme d’analyse vidéo temps réel basée sur l’IA, pour détecter des objets et extraire des données exploitables pour l'excellence opérationnelle. Ses solutions sont utilisées dans l’industrie, le retail, la sécurité et la mobilité.
A	12	DEVANA (Scriptor Artis)	https://www.devana.ai/	2020	Pays de la Loire	fine-tuning, machine learning, PhD, researcher, dataset, embedding, open-source	Devana est un progiciel propriétaire d’orchestration d’assistants et d’agents d’IA générative dédié à la gestion à grande échelle des connaissances en entreprise. Logiciel plug & play disponible en SaaS & On-Premises. AI Act, RGPD & DORA Compliant.
A	12	Sarus	https://www.sarus.tech/	2019	Île-de-France	fine-tuning, fine tuning, data science, data scientist, dataset	Sarus développe une couche de protection de la vie privée permettant aux entreprises et aux organisations publiques d'exploiter pleinement le potentiel des données sensibles. Elles peuvent ainsi mener des recherches, des analyses et développer l’IA tout en garantissant la sécurité des données. Avec Sarus, les data scientists et analystes travaillent sur les données sans jamais y accéder directement. La conformité est simplifiée, la valeur des données est exploitée dès le premier jour, et la sécurité est maximale, notamment dans les domaines de la santé, de la finance et des villes durables.
A	11	Ai For Alpha	www.aiforalpha.com	2020	Île-de-France	machine learning, data science, data scientist, PhD, researcher, R&D	Ai For Alpha développe des stratégies systématiques de réplication (Hedge Funds, CTA, Gestion diversifiée, Private Equity) à destination d’investisseurs institutionnels en Europe, États-Unis et Asie.
A	11	Bioptimus	https://www.bioptimus.com/	2024	Île-de-France	training data, machine learning, GPU, PhD, researcher	We use cutting-edge technology to transform multiscale data into actionable representations to fuel breakthrough discoveries. Join us on our mission to build foundation models that transform biology.
A	11	Ikanovision	www.ikanovision.com	2023	Nouvelle-Aquitaine	computer vision, vision par ordinateur, chercheur, transformer, R&D	IkanoVision est un bureau d'études en innovations spécialiste de l'intelligence artificielle et de la computer vision. Nous développons des solutions sur mesure pour transcrire un savoir métier en une solution logicielle simple, fiable et explicable.
A	11	Welcome to the Jungle	https://www.welcometothejungle.com/fr	2014	Île-de-France	machine learning, data science, GPU, PhD, transformer, open-source	Chez Welcome to the Jungle nous proposons une suite d’outils, du contenu et des expériences qui rendent le recrutement plus transparent, plus humain et moins solitaire.
A	10	Arlequin AI	https://www.arlq.ai/	2024	Île-de-France	machine learning, data science, PhD, researcher, dataset, edge AI	Arlequin AI a développé l’explorateur de donnée humaine (HuDex), une solution de Next-Gen Social Analysis.
A	10	Flex.ai	https://www.flex.ai/	2023	Île-de-France	tensorflow, fine-tuning, GPU, inference	Unlocking the future of Machine Intelligence by rearchitecting the compute infrastructure
A	10	Heptalytics	www.heptalytics.ai	2023	Île-de-France	deep learning, neural network, data science, dataset	Chez Heptalytics, nous renforçons la sécurité des paiements et votre détection de fraude grâce aux technologies de deep learning les plus avancées.
A	10	Lucky cart	www.luckycart.com/	2010	Île-de-France	machine learning, data science, data scientist, dataset, transformer	Lucky cart est une MarTech française qui cumule une triple expertise en grande distribution, retail media et data science. Cette combinaison lui permet de relever les challenges business de ses partenaires, marques et enseignes de distribution.
A	10	Whitelab Genomics	https://whitelabgx.com/	2019	Île-de-France	fine-tuning, machine learning, PhD, proprietary tech, R&D	Developing AI solutions for accelerated genomic drug design and development
A	9	AMPHITRITE	www.amphitrite.fr	2021	Île-de-France	neural network, data scientist, PhD, researcher	Amphitrite fusionne des observations satellites et in-situ, grâce à l’intelligence artificielle, pour fournir des prévisions océaniques très fiables permettant de prendre les bonnes décisions en mer et réduire les émissions du transport maritime.
A	9	Alta Ares	http://altaares.com	2024	Île-de-France	annotation, labeling, dataset, edge AI, R&D	AI-driven drone detection enhancing operational efficiency in military and industrial sectors
A	9	Heuritech	https://heuritech.com/	2013	Île-de-France	computer vision, machine learning, PhD, dataset	Heuritech permet aux marques de quantifier et prédire ce que les consommateurs portent grâce à une IA propriétaire de reconnaissance visuelle. Premier lauréat du prix d'Innovation LVMH, sa plateforme SaaS analyse 3 millions d’images postées par jour.
A	9	Orakl Oncology	http://orakl-oncology.com	2023	Île-de-France	data scientist, PhD, researcher, dataset, R&D	Tumor avatars to transform oncology drug development
A	9	quantacell	https://www.quantacell.com/	2014	Occitanie	deep learning, data science, researcher, dataset	AI-powered image analysis software to accelerate the discovery of new biomarkers.
A	8	BrightClue	http://brightclue.com	2020	Bretagne	GPU, dataset, transformer, nos modèles	Design, engineer and price your 3D parts the first time, at the lowest cost
A	8	Deemea	www.deemea.com	2020	Île-de-France	deep learning, annotation, dataset, open-source	Expert in AI-driven structuring and analysis of medical imaging, Deemea offers a multimodal, multicentric platform for real-world data. Our technology enables secure sharing of up-to-date, preprocessed data while ensuring accuracy and privacy.
A	8	HrFlow.ai	http://hrflow.ai/	2016	Île-de-France	machine learning, GPU, PhD, dataset, embedding	"HrFlow.ai unifie, exploite et orchestre vos données RH grâce à l'IA. 
Gagnez en croissance (+22% de CA pour les agences d'intérim) et en mobilité (+37% pour les grands employeurs). 
Nous optimisons la gestion des talents pour +1 000 clients dans le monde entier."
A	8	IDA	www.ida.eu/	2022	Auvergne-Rhône-Alpes	machine learning, PhD, dataset, transformer	IDA is an AI-powered software solution specifically designed for the fresh produce industry, focusing on optimizing ordering processes and reducing food waste. The platform consolidates offerings from purchase centers, wholesalers, and local suppliers into a centralized system, using artificial intelligence to generate intelligent order proposals based on factors like seasonality and weather. With a mission to eliminate food waste in distribution, the company aims to prevent over 1,500 tons of fresh produce waste by 2025 through its innovative ordering and inventory management technology.
A	8	Nucleon Security	www.nucleon-security.com	2019	Île-de-France	machine learning, data scientist, dataset, edge AI	Nucleon Security est une entreprise française de cybersécurité développant des solutions EDR, MDR et XDR basées sur l’IA. Sa plateforme s’appuie sur des agents autonomes pour détecter, analyser et neutraliser les cybermenaces en temps réel, avec une approche Zero Trust.
A	8	PROPHESEE	https://www.prophesee.ai	2014	Île-de-France	computer vision, computer-vision, dataset	Prophesee is the inventor of the world’s most advanced neuromorphic vision systems. The company developed a breakthrough Event-Based Vision approach to machine vision. This new vision category allows for significant reductions of power, latency and data processing requirements to reveal what was invisible to traditional frame-based sensors until now. Prophesee’s patented Metavision® sensors and AI mimic how the human eye and brain work to dramatically improve efficiency in areas such as autonomous vehicles, industrial automation, IoT, security and surveillance, and AR/VR. Prophesee is based in Paris, with local offices in Grenoble, Shanghai, Tokyo and Silicon Valley. The company is driven by a team of 130 visionary engineers, holds more than 50 international patents and is backed by leading international investors including Sony, iBionext, 360 Capital Partners, Intel Capital, Robert Bosch Venture Capital, Supernova Invest, and European Investment Bank.
A	8	Qynapse	https://qynapse.com/	2015	Île-de-France	PhD, researcher, labeling, dataset	The future of neuroimaging analysis is here and Qynapse is leading the way. For clinicians on the front lines, for patients and their families, for payers, and for pharma – we offer peace of mind by providing results you can trust. Headquartered in France, in the United States and in Canada, the Qynapse team, with our world-renowned team of scientific and clinical partners, is wholly dedicated to aspiring to bring the entire neuroscience community and their patients the clearest, most accurate and reliable predictors and objective measures of devastating CNS disorders such as Alzheimer's disease, multiple sclerosis and Parkinson’s disease.  We are constantly evolving, refining and testing our FDA-cleared and CE-marked neuroimaging software platform, QyScore®, which is powered by proprietary Artificial Intelligence, to provide physicians, pharma researchers and payers a reliable layer of precision when reading an MRI scan. QyPredict®, our predictive research-use-only platform powered by machine learning algorithms, is being designed to transform what we know about CNS disease trajectory, with the potential to dramatically increase the likelihood of a successful clinical trial.
A	8	SPARE PARTS 3D	https://spare-parts-3d.com/	2018	Occitanie	neural network, computer vision, machine learning	Theia est une application basée sur l'intelligence artificielle qui permet de créer automatiquement un modèle 3D à partir de son dessin technique en 2D. Ceci permet de réduire le temps de digitalisation de pièces pour l'industrie.
A	8	tchek	https://www.tchek.ai/	2016	Provence-Alpes-Côte d'Azur	deep learning, computer vision, edge AI	Tchek streamlines vehicle inspection and remarketing processes for mobility professionals with AI computer vision solutions. Key industry players use our service of Digital Vehicle Inspection for pre-inspection, fleet and used-car inspection.
B	7	AcuSurgical	https://acusurgical.com	2020	Occitanie	deep learning, GPU, dataset	Creating the new standard of care in retinal surgery
B	7	Alteia	https://alteia.com/	2018	Occitanie	computer vision, machine learning, dataset	Alteia, spécialisée en analyse visuelle et IA, propose une plateforme centralisant et exploitant des données visuelles et opérationnelles. Ses outils aident les organisations à optimiser leurs opérations et améliorer la prise de décision.
B	7	Enhancy	www.enhancy.co	2019	Île-de-France	GPU, PhD, dataset, R&D	Enhancy industrialise la digitalisation des articles de seconde vie grâce à un studio photo automatisé couplé à une plateforme GEN IA. 10× plus rapide et économique, pour une offre circulaire performante avec les standards du e-commerce neuf.
B	7	Everdian	https://everdian.com/	2014	Île-de-France	computer vision, machine learning, edge AI	Solution spécialisée dans la collecte et le traitement massif de données hétérogènes en temps réel via IA pour la détection précoce d'événements, la fraude et la désinformation.
B	7	GATEWATCHER	http://gatewatcher.com	2015	Île-de-France	deep learning, machine learning, data science	First breach detection system, detecting the most crafted threats and cyberattacks
B	7	GOLDENEYE SMART VISION (APOLLO)	www.goldeneyesmartvision.ai	2019	Île-de-France	computer vision, GPU, dataset	GoldenEye Smart Vision automatise l’inspection textile grâce à une IA auto-supervisée et une imagerie optique avancée. La solution scanne les rouleaux en continu, détecte les défauts en temps réel et fournit des rapports fiables pour réduire pertes et coûts.
B	7	Kinetix	www.kinetix.tech	2020	Île-de-France	computer vision, machine learning, dataset	Kinetix développe un modèle de génération de vidéo par IA basé sur une compréhension 3D du mouvement humain et de la caméra. Sa technologie apporte un contrôle particulièrement précis et nécessaire pour la création de contenus cinématographiques et publicitaires.
B	7	Laroo	www.laroo.fr	2023	Auvergne-Rhône-Alpes	GPU, PhD, dataset, R&D	Laroo est un logiciel SaaS pour les magasins de vélos, qui utilise l’intelligence artificielle pour analyser les ventes et anticiper les besoins. Il recommande les bons volumes d’achat afin d’éviter les ruptures de stock, réduire le surstockage et optimiser la trésorerie.
B	7	Neuralk-AI	www.neuralk-ai.com	2023	Île-de-France	data science, dataset, embedding, open-source	Chez Neuralk, nous avons développé le premier modèle d’IA conçu pour traiter automatiquement les données tabulaires (clients, produits, transactions). Via une API simple, il gère déduplication, enrichissement, détection de fraude, ou encore prévision de ventes.
B	7	Pop Sink	www.popsink.com/	2013	Hauts-de-France	machine learning, PhD, dataset, open-source	Popsink is the most reliable way to automate action from insights
B	7	Preste	www.preste.ai	2019	Île-de-France	computer vision, machine learning, data science, GPU, dataset	"Nous développons des solutions IA sur mesure pour entreprises en vision par ordinateur, traitement du langage naturel (NLP) et bio-ingénierie. Preste participe à 2 projets R&D pionniers Horizon Europe. Nous sommes un ""partenaire préféré"" NVIDIA (calcul IA embarqué)."
B	7	Scortex	http://scortex.io/	2016	Île-de-France	deep learning, GPU, dataset	Scortex permet aux fabricants de maîtriser leur qualité grâce à sa solution d'intelligence de la qualité.
B	7	TETMET	https://www.tetmet.net/	2023	Île-de-France	GPU, PhD, dataset, R&D	We enable the most efficient lattice structures at industrial scale for manufacturers in Automotive, Aviation and Space.
B	7	Tarotanalytics	http://tarotanalytics.com	2006	Île-de-France	GPU, PhD, dataset, R&D	Tarot Analytics - Final Kilometre Route Optimisation and Delivery Management platform to power your operations and give your customers an amazing delivery experience
B	7	WeDiagnostiX	https://wediagnostix.ai	2020	Île-de-France	deep learning, annotation, entraîné	An AI system that interprets dental X-rays and generates reports in just a few clicks, enhancing patient communication and treatment plan adoption
B	7	adagos	https://www.adagos.com/	2011	Occitanie	neural network, GPU, dataset	ADAGOS has developed NeurEco; a new neural network approach based on parsimony.
B	6	Adalong	www.adalong.com	2017	Île-de-France	data science, lidar, LiDAR	AdAlong permet à chaque marque de transformer cette digitalisation du bouche à oreille en levier de croissance. Basée sur l’IA, la plateforme permet d’automatiser la sélection et la diffusion de contenus consommateurs authentiques et créatifs qui répondent aux attentes des audiences des marques.
B	6	Adaptive ML	https://www.adaptive-ml.com/	2023	Île-de-France	reinforcement learning, fine-tuning, annotation, inference	Adaptive ML develops a platform that enables companies to test, serve, monitor, and perpetually iterate on their large language models by leveraging user interactions and reinforcement learning
B	6	Aegir	https://aegir.fr/fr/accueil/	2023	Auvergne-Rhône-Alpes	PhD, chercheur, researcher	IA Hybride: Allier puissance algorithmique et discernement humain
B	6	AffectLog	https://affectlog.com/	2021	Île-de-France	PhD, researcher, dataset	AffectLog. Your Trusted Digital Twin
B	6	Another Brain	http://anotherbrain.ai	2017	Île-de-France	deep learning, neural network	An artificial intelligence startup that develops AI in a way far beyond deep learning
B	6	Araïko (Cynapps)	http://araiko.ai	2019	Auvergne-Rhône-Alpes	data science, GPU, chercheur, transformer	Notre mission ? Rendre l'IA accessible en plaçant l'humain au centre de tous nos projets.
B	6	Astriis	www.astriis.com	2022	Auvergne-Rhône-Alpes	machine learning, GPU, PhD	ASTRIIS développe une solution de maintenance prédictive des machines tournantes dans les secteurs de l'énergie, des transports et de l'industrie, permettant de détecter automatiquement plus de défauts, plus tôt, de localiser précisément les anomalies.
B	6	Aviwell	http://aviwell.fr	2015	Occitanie	data science, GPU, PhD	Develop natural and sustainable solutions to improve animal health to better nourish and provide food security to the nearly 8 billion people on our planet. And to do so a fraction of the cost
B	6	Cogniwave dynamics	www.cogniwavedynamics.com	2020	Île-de-France	computer vision, machine learning, R&D	"Produit IA/RH end to end 
Recherche de profils automatisée 
Sélection / tri / scoring
Qualification technique  ( texte et video)
Upskilling"
B	6	DAT Solutions	https://www.dat-solutions.fr/	2018	Provence-Alpes-Côte d'Azur	deep learning, computer vision, machine learning	DAT Solutions conçois, intègre et maintient des systèmes intelligents dans le secteur de la sécurité et de la défense.
B	6	Dasia	www.dasia.ai	2020	Île-de-France	deep learning, vision par ordinateur, dataset, transformer	L’innovation porte à la fois sur le modèle d’apprentissage (prédiction dense en SSL, encore peu explorée) et sur la manière de l’exploiter : mise à disposition via une API, intégration dans des chaînes de traitement, adaptation directe sur les données du client
B	6	Datategy	www.datategy.net	2016	Île-de-France	machine learning, data science, data scientist	Datategy édite papAI, une plateforme d’IA de bout en bout permettant de déployer rapidement des cas d’usage industriels, publics et critiques : prédiction, optimisation, compliance, RAG avancé, IA générative, MLOps, data quality et gouvernance.
B	6	Deebr	https://www.deebr.co/	2022	Île-de-France	machine learning, nos modèles, entraîné	Nous vous donnons les moyens d'engager vos clients et d'obtenir des résultats grâce à la collecte de données, à la prédiction des ventes et à la construction d'audience. Collecte automatisée : Nous collectons vos données et entrainons nos modèles de machine learning quotidiennement. Prédiction des ventes : Nos algorithmes vous permettent d'avoir un temps d'avance et de connaitre les tendances futures. Ciblage amélioré : Délivrez des campagnes pertinentes en fonction de vos contraintes business.
B	6	Digeiz	www.digeiz.com	2015	Île-de-France	GPU, dataset, edge AI	Digeiz mesure les flux des malls grâce à la vision par ordinateur. À partir des caméras existantes, nous fournissons des KPI précis (flux, démographie, parcours) certifiés CESP/RGPD. Les centres génèrent de nouveaux revenus pub et optimisent gestion, baux et espaces.
B	6	GEEGLEE	https://geeglee.net	2017	Île-de-France	GPU, researcher, dataset, transformer, R&D	Augmented human intelligence software for engineering design
B	6	HyLight	http://hylight.aero	2022	Île-de-France	dataset, lidar, LiDAR	Advanced multi-sensor technology and AI for inspecting energy infrastructure
B	6	Lite	https://pro.lite.eco	2017	Île-de-France	GPU, PhD, dataset	Lite optimise et réduit les factures d’énergie des entreprises en automatisant la collecte des données, en gérant leurs contrats et en identifiant les économies possibles. Une plateforme simple pour piloter consommation, coûts et performance énergétique.
B	6	Neuranest Technologies	https://www.stewdy.com	2024	Île-de-France	machine learning, chercheur, dataset, entraîné, entrainé	Stewdy est un Saas soutien scolaire basée sur l’IA agentique (texte et vocal). Elle fournit à chaque élève du CM1 à la Terminale un coach pédagogique spécialisé, aligné sur les programmes officiels, capable de détecter les lacunes et de générer des parcours de révision personnalisés.
B	6	Noé	https://noe-app.fr	2021	Hauts-de-France	PhD, chercheur, dataset	NOÉ est une web app qui accélère la mise sur le marché des dispositifs médicaux. Grâce au deep learning et à l'IA générative, NOÉ classe les informations et produit des résumés, permettant aux humains de se concentrer sur la création de valeur.
B	6	Osium AI	http://osium.ai	2023	Île-de-France	GPU, dataset, proprietary tech	AI for advanced and sustainable materials discovery
B	6	PONTOS	http://pontos.ai	2023	Nouvelle-Aquitaine	PhD, researcher, dataset	Empowering sustainable fisheries with AI
B	6	Predisurge	http://predisurge.com	2017	Auvergne-Rhône-Alpes	deep learning, dataset, R&D	PrediSurge creates a precision medicine platform to aid in endovascular planning. Based on pre-operative imaging, the technology creates patient-specific digital twins to simulate arteries and valves
B	6	Qantev	https://www.qantev.com/	2019	Île-de-France	machine learning, researcher, edge AI	Qantev provides an AI Claims Platform specifically designed for healthcare operations within the insurance industry.
B	6	QuantCube Technology	https://www.quant-cube.com	2013	Île-de-France	data science, GPU, dataset	QuantCube analyses billions of alternative data points in real time, using artificial intelligence and big data analytics to deliver insights ahead of the market – giving users an edge in their investment strategies. Today we are the global leader in macroeconomic intelligence nowcasting and in pinpointing macro regime change. Our vision is to become the standard point of reference for macroeconomic, sector, corporate and environmental intelligence. By delivering timely, comprehensive and actionable economic insights we empower users within financial institutions, corporates and public bodies to reach their financial performance and sustainability goals. Headquartered in Paris, QuantCube employs a diverse international team of economists, quant analysts and data scientists with expertise in multilingual NLP, deep learning and machine learning techniques. The company’s shareholders include Moody’s and Caisse des Dépôts and its R&D in computer vision has been partially funded by the European Space Agency (ESA) and French government space agency CNES.
B	6	Sipearl	www.sipearl.com	2019	Île-de-France	GPU, annotation, inference	SiPearl développe des microprocesseurs haute performance et basse consommation souverains pour le supercalcul, l’inférence d’IA et les centres de données. Actuellement en fabrication, son premier microprocesseur Rhea1 équipera notamment le centre de calcul le plus puissant d’Europe, JUPITER.
B	6	Virtualbrain	www.getvirtualbrain.com	2023	Provence-Alpes-Côte d'Azur	fine-tuning, dataset, open-source	VirtualBrain est une plateforme sécurisée tout-en-un qui permet aux professionnels de la stratégie, du conseil et de l'investissement de déployer des cas d'usages IA à fort ROI sur étagère, connectés à la donnée d'entreprise.
B	6	Zaion	www.zaion.ai	2017	Île-de-France	machine learning, dataset, entraîné, proprietary tech	Zaion aider les entreprises à optimiser leurs interactions clients grâce à une IA Agentique souveraine et spécialisée, conçue pour améliorer l’efficacité des services client et enrichir l’expérience utilisateur.
B	6	datahawk	https://datahawk.co/	2021	Île-de-France	machine learning, GPU, PhD, dataset	Dataleon provides the best Machine Learning tools for data automation and processing. Ready-to-use API for data recognition and extraction are available to accelerate your digital transformation powered by artificial intelligence.
B	6	dottxt	https://dottxt.ai	2023	Île-de-France	PhD, annotation, inference	Making AI speak computers
B	6	emocio	https://www.emocio.hr/	2023	Auvergne-Rhône-Alpes	GPU, dataset, transformer	Emocio est une solution RH innovante fondée sur l'intelligence artificielle (IA) qui permet de connaître rapidement et simplement le ressenti des salariés en matière de : Bien-être et conditions de travail, Organisation du travail, Politique sociale et salariale, Management et pilotage de l'organisation. Grâce à l'IA, Emocio analyse et catégorise les contenus qualitatifs des supports des entretiens (annuels et professionnels). En combinant ces informations avec les métadonnées (métier, genre, niveau de rémunération, ancienneté, etc), vous bénéficiez d'un puissant outil d'aide à la décision à l'échelle de votre organisation ou de chaque métier.
B	6	kentyou	https://kentyou.com/	2020	Auvergne-Rhône-Alpes	data scientist, researcher, open-source, R&D	Kentyou provides open digital twin solutions, to gather and analyse meaningful urban data and enable local innovators to build custom solutions that respond to citizens demands.
B	6	scienta lab	https://www.scientalab.com/	2021	Île-de-France	machine learning, data scientist, dataset	Scienta Lab is a deeptech company developing a unique and proprietary artificial intelligence technology to transform the drug discovery and development process in immunology and inflammation.
B	6	webdrone	http://www.webdrone.fr	2011	Bourgogne-Franche-Comté	PhD, transformer, entraîné	Webdrone édite une plate-forme de surveillances d'activités cybercriminelles par e-drones, et accompagne ses clients avec un service expert pour les missions d'investigation et de reporting opérationnel.
B	5	Alien	www.alien.club	2022	Île-de-France	training data, machine learning, dataset	Alien est le tiers de confiance européen qui permet aux IA d'accéder aux données privées pour générer des réponses fiables, sans jamais s'entraîner dessus. Nous réconcilions monétisation pour les ayants droit et conformité (AI Act) pour les modèles d'IA via une infrastructure sécurisée.
B	5	Arcascience	https://www.arcascience.ai/	2018	Île-de-France	data science, PhD, edge AI, R&D	Notre plateforme alimentée par l'IA génère des insights cachés dans des ensembles de données massifs, permettant aux sociétés pharmaceutiques et aux CRO d'optimiser l'ensemble du cycle de vie du médicament.
B	5	Arcure	https://blaxtair.com	2009	Île-de-France	deep learning, GPU, PhD	AI‑embedded 3D vision systems that enhance safety and productivity by preventing collisions between industrial machinery and people
B	5	BiOceanOr	http://bioceanor.com	2018	Provence-Alpes-Côte d'Azur	machine learning, data scientist, R&D	BIOCEANOR has developed the first underwater weather station for real time and predictive monitoring of water quality
B	5	Bondzai	www.bondzai.io	2021	Occitanie	deep learning, machine learning	Bondzai est spécialisée en maintenance préventive et contrôle qualité en industrie en utilisant le son avec son produit phare iDetect 5.0.
B	5	Callyope	https://callyope.com/	2022	Île-de-France	training data, dataset	Monitoring brain health through speech
B	5	Celest.Science	www.celest.science	2023	Occitanie	deep learning, machine learning	Celest.Science est une plateforme de prévisions climatiques et de simulation de risques qui permet aux organisations d’anticiper l’évolution des risques climatiques.
B	5	Cobl	https://www.cobl.ai/	2023	Nouvelle-Aquitaine	fine-tuning, data science, annotation	Orchestrateur d'agents IA pour la génération automatique de documents
B	5	Giskard AI	https://www.giskard.ai/	2021	Île-de-France	annotation, dataset, open-source	Giskard est une plateforme holistique couvrant tous les risques des modèles d'IA en termes de qualité, sécurité et conformité. Notre solution aide à automatiser le processus d'évaluation et de conformité, et à éviter les coûteux incidents liés à l'IA
B	5	Kalray	www.kalrayinc.com	2008	Auvergne-Rhône-Alpes	machine learning, computer-vision	Kalray propose des solutions haute performance pour le stockage et la gestion des données, qui visent les marchés de l'IA, de l'Edge Computing et du Cloud. Ces solutions comprennent un nouveau type de processeur intelligent (DPU), des cartes d'accélération et des solutions logicielles innovantes.
B	5	MISTRAL AI	https://mistral.ai/fr/	2023	Île-de-France	fine-tuning, nos modèles	Fast, open-source and secure language models. Facilitated specialisation of models on business use-cases, leveraging private data and usage feedback.
B	5	PREDITIC	https://preditic.com/	2014	Nouvelle-Aquitaine	deep learning, machine learning	Preditic propose une plateforme de collecte, de valorisation et d'analyse de données pour ses clients issus du monde industriel et du monde du transport, notamment pour ses clients du secteur ferroviaire.  Fondée en 2014, Preditic est issue du Laboratoire de Recherche en Informatique de l’Université de Bordeaux (LaBRI). La société se différencie par son grand savoir-faire sur les questions d’analyse et de traitement de données en milieu complexe puisque Preditic cumule plus de 15 ans d’expérience en R&D sur ces sujets.
B	5	QUINTEN	https://www.quinten.ai/	2008	Île-de-France	machine learning, data science, open-source	Société pionnière dans l’Intelligence Artificielle appliquée à l’amélioration de la performance des organisations notamment dans le domaine de la Santé, la Banque et l'Assurance, Quinten a toujours défendu une IA centrée sur l’humain, au service des grands enjeux économiques et sociétaux, et bâti avec les équipes métiers des solutions sur mesure permettant de tirer parti du plein potentiel de leurs données.
B	5	SquareMiles	https://www.squaremiles.io	2020	Île-de-France	deep learning, machine learning	Maquette numérique des logistiques : tester, visualiser, comparer et décider le meilleur des scénarios décarbonés (GES, énergie, économies, organisation). Simulateur multimodal: terrestre, fleuve, rail, hub fixes & mobiles, transport en commun.
B	5	UncovAI	https://uncovai.com/	2024	Provence-Alpes-Côte d'Azur	neural network, GPU, PhD	UncovAI présente une plateforme innovante permettant de détecter les contenus générés par l'IA, alliant efficacité et durabilité pour protéger contre la fraud et assurer l'intégrité de l'information
B	5	Visionairy	https://www.visionairy.io/	2018	Île-de-France	computer vision, edge AI	Visionairy provides an AI-based computer vision software to automate visual inspections tasks in factory. Our mission is to make the best of industrial vision accessible to manufacturing teams to transform the way we produce by allowing :
B	4	(E-)PEAK PEOPLE HR	https://www.peakpeople-hr.com/fr/	2024	Île-de-France	machine learning, data science	Ayez accès aux attentes et aux besoins de vos équipes ainsi qu’à la perception qu’elles ont de votre organisation, de leurs métiers, du terrain en temps réel.
B	4	AI Bobby	https://ai-bobby.com	2023	Île-de-France	PhD, researcher	Disrupting food protein R&D with neural AI
